rid,complete,start_time,end_time,duration,identifier,qpid,qsid,qhid,qkt6,qkt5,qkt1,qkt4,qkt3,qkt2,Qktcomp) Computational Logic
1191,COMPLETED,2009-09-04 17:58:56,2009-09-04 18:29:45,1849,11350429,139,GJMXJBEI,11350429,,,2,,,,1
1192,COMPLETED,2009-09-04 18:15:33,2009-09-04 18:58:10,2557,14231354,442,FYIQGJWR,14231354,,,,,,2,2
1193,COMPLETED,2009-09-04 18:20:35,2009-09-04 18:31:27,652,44320202,735,XOTGCEVQ,44320202,,1,,,,,5
1194,COMPLETED,2009-09-04 18:21:06,2009-09-04 18:58:05,2219,13721181,377,DKYHUBIU,13721181,,2,,,,,5
1195,COMPLETED,2009-09-04 18:33:39,2009-09-04 18:58:15,1476,60820035,837,GTHGSUOB,60820035,,,,,2,,3
1196,COMPLETED,2009-09-04 19:09:15,2009-09-04 19:26:01,1006,11720534,172,TTLDRVBN,11720534,,,,,2,,3
1197,COMPLETED,2009-09-04 19:13:49,2009-09-09 22:46:18,444749,74920243,935,XVUPKGWT,74920243,2,,,,,,6
1198,COMPLETED,2009-09-04 19:17:17,2009-09-04 19:30:02,765,12540805,270,PQOQNBGJ,12540805,,,,,,2,2
1199,COMPLETED,2009-09-04 19:33:13,2009-09-04 19:53:07,1194,32030092,645,XUMLMVUR,32030092,,,,,,1,2
1200,COMPLETED,2009-09-04 19:37:41,2009-09-04 23:00:28,12167,14631523,492,EFPDQHOE,14631523,,,,,1,,3
1201,COMPLETED,2009-09-04 20:05:08,2009-09-04 22:47:16,9728,13631149,360,JWMATRXC,13631149,,,,,,1,2
1202,COMPLETED,2009-09-04 20:19:37,2009-09-04 20:31:46,729,12630825,277,QSMBOHYD,12630825,,,,,,1,2
1203,COMPLETED,2009-09-04 20:20:39,2009-09-04 20:42:49,1330,93650168,986,XGPVMSDI,93650168,,,,,,2,2
1204,COMPLETED,2009-09-04 20:20:47,2009-09-04 20:30:08,561,44450211,740,JKINKJHL,44450211,2,,,,,,6
1205,COMPLETED,2009-09-04 20:26:35,2009-09-04 20:59:41,1986,24720227,610,QHQLBNAC,24720227,,,,,1,,3
1206,COMPLETED,2009-09-04 20:30:59,2009-09-04 20:55:24,1465,30210005,617,LONAMHJB,30210005,,,,,1,,3
1207,COMPLETED,2009-09-04 20:33:03,2009-09-04 21:02:51,1788,10230044,20,CXJJLQRP,10230044,,,,,2,,3
1208,COMPLETED,2009-09-04 20:47:14,2009-09-04 21:06:12,1138,11010306,90,QTNXQINF,11010306,,,,,2,,3
1209,COMPLETED,2009-09-04 20:56:55,2009-09-04 21:10:15,800,53320153,793,XLDMQTIN,53320153,,,,,2,,3
1210,COMPLETED,2009-09-04 21:04:51,2009-09-04 21:23:25,1114,31750080,640,CDODIRGN,31750080,,,,1,,,4
1211,COMPLETED,2009-09-04 22:06:24,2009-09-04 22:19:53,809,22530118,571,DHSGYUUH,22530118,,,1,,,,1
1212,COMPLETED,2009-09-04 22:27:01,2009-09-04 22:49:58,1377,14141336,434,HDFGJIFE,14141336,,1,,,,,5
1213,COMPLETED,2009-09-04 22:40:33,2009-09-04 22:53:32,779,13851238,403,QKXXIWFW,13851238,,,,,,2,2
1214,COMPLETED,2009-09-04 22:42:15,2009-09-04 23:26:20,2645,10740225,537,YQSEVPJT,10740225,1,,,,,,6
1215,COMPLETED,2009-09-04 22:42:30,2009-09-04 22:57:12,882,74230209,929,AZVMTVOQ,74230209,,,1,,,,1
1216,COMPLETED,2009-09-05 00:01:09,2009-09-05 00:24:24,1395,14751559,508,BCVPEXPG,14751559,,,1,,,,1
1217,COMPLETED,2009-09-05 00:01:14,2009-09-06 14:42:12,139258,33420159,663,BIIHPOQB,33420159,,,,1,,,4
1218,COMPLETED,2009-09-05 00:13:48,2009-09-05 00:41:48,1680,64730225,884,FIHUJJCU,64730225,2,,,,,,6
1219,COMPLETED,2009-09-05 00:41:12,2009-09-05 01:02:08,1256,13110977,299,UPDWTIIC,13110977,1,,,,,,6
1220,COMPLETED,2009-09-05 01:12:51,2009-09-05 01:29:00,969,14051298,419,ABAWLCVV,14051298,,,,,,1,2
1221,COMPLETED,2009-09-05 02:25:01,2009-09-05 02:52:15,1634,44630222,748,JMXCXQLL,44630222,,,,1,,,4
1222,COMPLETED,2009-09-05 05:45:55,2009-09-05 06:20:45,2090,10330073,29,YKLXRTDY,10330073,,1,,,,,5
1223,COMPLETED,2009-09-05 05:46:30,2009-09-05 06:40:14,3224,91030045,972,KEMTUBKU,91030045,,,1,,,,1
1224,COMPLETED,2009-09-05 07:01:35,2009-09-05 07:26:57,1522,61140052,841,MYDAMFQG,61140052,2,,,,,,6
1225,COMPLETED,2009-09-05 07:09:17,2009-09-05 07:32:43,1406,10920280,80,WOUYIVQD,10920280,,,2,,,,1
1226,COMPLETED,2009-09-05 07:19:50,2009-09-05 07:57:18,2248,30440018,621,NIHKFMUN,30440018,,,,2,,,4
1227,COMPLETED,2009-09-05 08:12:33,2009-09-05 09:41:33,5340,13341066,321,GHDRSJUJ,13341066,,2,,,,,5
1228,COMPLETED,2009-09-05 08:22:51,2009-09-05 08:53:44,1853,82850133,953,KDAFRXJE,82850133,,,,,2,,3
1229,COMPLETED,2009-09-05 08:40:32,2009-09-05 08:59:33,1141,50220005,761,VBEDICEW,50220005,,,,,1,,3
1230,COMPLETED,2009-09-05 09:03:35,2009-09-05 09:27:19,1424,11920592,195,CUCXUSNH,11920592,1,,,,,,6
1231,COMPLETED,2009-09-05 09:42:12,2009-09-05 10:05:22,1390,43740174,727,QKXHNXJT,43740174,1,,,,,,6
1232,COMPLETED,2009-09-05 10:26:53,2009-09-05 11:09:20,2547,61530067,848,XFFVVOVA,61530067,,2,,,,,5
1233,COMPLETED,2009-09-05 10:27:11,2009-09-05 10:40:59,828,34630224,688,CROQLSEX,34630224,,,2,,,,1
1234,COMPLETED,2009-09-05 10:47:20,2009-09-05 10:54:20,420,21910087,562,IZQFDTSO,21910087,,,,,1,,3
1235,COMPLETED,2009-09-05 10:50:17,2009-09-05 11:30:40,2423,13811202,385,JGXGACWU,13811202,,,,,,2,2
1236,COMPLETED,2009-09-05 10:50:29,2009-09-05 11:06:49,980,13821212,387,TRTHLMMU,13821212,,,1,,,,1
1237,COMPLETED,2009-09-05 10:51:38,2009-09-05 11:27:10,2132,93850182,989,TTQMMLQU,93850182,,,,,,1,2
1238,COMPLETED,2009-09-05 11:07:11,2009-09-05 11:35:45,1714,33350158,662,IFODPCLD,33350158,,1,,,,,5
1239,COMPLETED,2009-09-05 11:16:58,2009-09-05 11:36:29,1171,30350013,620,QKOJWTLB,30350013,,,,,,2,2
1240,COMPLETED,2009-09-05 11:32:31,2009-09-05 13:13:47,6076,11910584,191,GDYKTDXG,11910584,1,,,,,,6
1241,COMPLETED,2009-09-05 12:04:39,2009-09-13 01:06:48,651729,13651156,364,DRGLKKDU,13651156,,1,,,,,5
1242,COMPLETED,2009-09-05 12:24:10,2009-09-05 12:55:28,1878,10140019,12,AVTYSNLB,10140019,,,,,,2,2
1243,COMPLETED,2009-09-05 12:25:50,2009-09-05 12:57:51,1921,14451442,459,TMIPWJJV,14451442,,,,,,2,2
1244,COMPLETED,2009-09-05 12:31:38,2009-09-05 13:07:58,2180,12910922,297,CQUEAUIU,12910922,,,,,1,,3
1245,COMPLETED,2009-09-05 13:17:31,2009-09-05 13:44:50,1639,74250210,930,QTUJEMXC,74250210,2,,,,,,6
1246,COMPLETED,2009-09-05 13:18:25,2009-09-05 14:00:19,2514,11031744,899,UWQWYJQO,11031744,,,,,2,,3
1247,COMPLETED,2009-09-05 13:39:48,2009-09-05 13:55:00,912,84850240,968,YEYGTWFL,84850240,,,,,,2,2
1248,COMPLETED,2009-09-05 14:04:14,2009-09-05 16:03:15,7141,12540801,267,YVKPFXDT,12540801,,,1,,,,1
1249,COMPLETED,2009-09-05 14:50:43,2009-09-05 15:15:29,1486,31120052,629,RGDNZGLR,31120052,,,,,,2,2
1250,COMPLETED,2009-09-05 15:14:45,2009-09-05 15:31:55,1030,13221022,310,XGFRMHQH,13221022,,,,2,,,4
1251,COMPLETED,2009-09-05 15:46:18,2009-09-05 16:11:38,1520,12640830,279,YCELIFWB,12640830,,2,,,,,5
1252,COMPLETED,2009-09-05 16:46:59,2009-09-05 18:44:13,7034,41650075,707,DGPDSBSM,41650075,,,,,,1,2
1253,COMPLETED,2009-09-05 16:50:37,2009-09-05 17:00:23,586,85020247,970,NSVVWNBK,85020247,,,1,,,,1
1254,COMPLETED,2009-09-05 17:20:35,2009-09-05 17:37:06,991,13841223,396,HPRHKOSC,13841223,,,,,,2,2
1255,COMPLETED,2009-09-05 17:42:08,2009-09-05 17:59:51,1063,14641529,494,XGQFGYGI,14641529,,,,,1,,3
1256,COMPLETED,2009-09-05 18:51:44,2009-09-06 16:58:38,79614,83940186,956,TPRQOQCH,83940186,,,,2,,,4
1257,COMPLETED,2009-09-05 19:47:45,2009-09-07 18:48:45,169260,14421419,452,BFPNYOHC,14421419,,,,,,1,2
1258,COMPLETED,2009-09-05 20:05:08,2009-09-05 20:35:31,1823,11820567,185,NWRPXETB,11820567,,,,,2,,3
1259,COMPLETED,2009-09-05 20:13:54,2009-09-05 21:22:09,4095,42220100,712,KVCOPBKG,42220100,,,,,,1,2
1260,COMPLETED,2009-09-05 20:23:38,2009-09-05 20:55:11,1893,14021282,413,ULIZIYFN,14021282,,1,,,,,5
1261,COMPLETED,2009-09-05 20:28:12,2009-09-05 20:33:32,320,83810178,955,FXYETWOR,83810178,,,,,,,2
1262,COMPLETED,2009-09-05 20:34:20,2009-09-05 21:04:51,1831,10430111,41,GWQXBICL,10430111,,1,,,,,5
1263,COMPLETED,2009-09-05 20:39:18,2009-09-05 21:16:59,2261,81550071,943,QSQQIHYB,81550071,,,1,,,,1
1264,COMPLETED,2009-09-05 21:21:25,2009-09-05 22:58:37,5832,24440211,600,LKQKFEFQ,24440211,,,1,,,,1
1265,COMPLETED,2009-09-05 21:34:15,2009-09-05 21:57:50,1415,12730862,289,EYHTVZWM,12730862,2,,,,,,6
1266,COMPLETED,2009-09-05 22:05:14,2009-09-05 22:33:42,1708,14521453,463,LJSMDFZC,14521453,,1,,,,,5
1267,COMPLETED,2009-09-05 22:43:52,2009-09-05 23:26:33,2561,33110144,658,OIIIFYVH,33110144,2,,,,,,6
1268,COMPLETED,2009-09-05 23:03:16,2009-09-05 23:29:02,1546,44830230,753,XLNFMXWU,44830230,,,,,1,,3
1269,COMPLETED,2009-09-05 23:35:55,2009-09-06 00:02:51,1616,31540070,638,WEINSUPV,31540070,,,2,,,,1
1270,COMPLETED,2009-09-06 01:33:32,2009-09-06 02:00:43,1631,64110190,877,JZZPFEYT,64110190,2,,,,,,6
1271,COMPLETED,2009-09-06 02:25:46,2009-09-27 17:01:55,1866969,62050093,857,HWTZKSNP,62050093,,,,,,1,2
1272,COMPLETED,2009-09-06 02:47:02,2009-09-06 03:29:05,2523,61810080,853,KNHMGKHV,61810080,,,,2,,,4
1273,COMPLETED,2009-09-06 02:49:30,2009-09-09 00:48:33,251943,44710225,750,LCVWGJWS,44710225,,1,,,,,5
1274,COMPLETED,2009-09-06 03:48:55,2009-09-19 12:12:29,1153414,24710226,609,RVVCSJPN,24710226,1,,,,,,6
1275,COMPLETED,2009-09-06 06:14:57,2009-09-06 06:42:11,1634,13421083,330,CLUPIMIS,13421083,,,,,,2,2
1276,COMPLETED,2009-09-06 06:24:28,2009-09-06 06:50:26,1558,10720212,64,VPOAQVLX,10720212,2,,,,,,6
1277,COMPLETED,2009-09-06 06:45:46,2009-09-06 07:19:06,2000,40620028,697,MEHTLQXN,40620028,,,,,,1,2
1278,COMPLETED,2009-09-06 08:52:56,2009-09-06 09:09:31,995,13421085,332,JEIIWHRV,13421085,,,,1,,,4
1279,COMPLETED,2009-09-06 08:54:19,2009-09-06 09:33:34,2355,42430112,715,NLSIVVFM,42430112,,1,,,,,5
1280,COMPLETED,2009-09-06 09:21:51,2009-09-06 09:44:37,1366,11840576,190,JBEODPUH,11840576,2,,,,,,6
1281,COMPLETED,2009-09-06 10:03:37,2009-09-06 10:44:28,2451,12020624,207,WOVCIDGG,12020624,1,,,,,,6
1282,COMPLETED,2009-09-06 10:30:53,2009-09-06 10:57:37,1604,22240104,569,DQEAOJYD,22240104,,,,,,1,2
1283,COMPLETED,2009-09-06 10:31:24,2009-09-06 10:51:42,1218,11620495,161,RQCNLJBG,11620495,,,2,,,,1
1284,COMPLETED,2009-09-06 11:21:38,2009-09-06 11:36:21,883,15021637,529,MFKSNDXB,15021637,,,,2,,,4
1285,COMPLETED,2009-09-06 11:25:13,2009-09-06 11:51:39,1586,13741189,379,NUPPWWEL,13741189,,,,2,,,4
1286,COMPLETED,2009-09-06 11:40:05,2009-09-06 12:06:43,1598,10710209,63,GRSKTPYQ,10710209,,,,,2,,3
1287,COMPLETED,2009-09-06 11:46:59,2009-09-06 12:08:24,1285,11530471,152,AMTGIYRD,11530471,,,,1,,,4
1288,COMPLETED,2009-09-06 12:32:23,2009-09-06 13:48:52,4589,14711541,499,YHBWSXXP,14711541,,,1,,,,1
1289,COMPLETED,2009-09-06 12:39:52,2009-09-06 13:23:34,2622,23540165,584,SFUKIWWD,23540165,,,,,,2,2
1290,COMPLETED,2009-09-06 13:14:16,2009-09-06 13:44:51,1835,13921248,404,RXPLXUUB,13921248,,1,,,,,5
1291,COMPLETED,2009-09-06 13:17:31,2009-09-26 17:31:42,1743251,14141321,428,VMCBEORA,14141321,2,,,,,,6
1292,COMPLETED,2009-09-06 13:26:26,2009-09-09 14:06:57,261631,34540219,684,JYQIUUJO,34540219,,,2,,,,1
1293,COMPLETED,2009-09-06 13:28:29,2009-09-06 13:57:21,1732,53040140,787,ZJATQSAI,53040140,,,,,,1,2
1294,COMPLETED,2009-09-06 13:34:07,2009-09-06 13:48:52,885,11110348,103,KJDVWJSQ,11110348,,2,,,,,5
1295,COMPLETED,2009-09-06 13:45:42,2009-09-09 13:00:08,256466,94440216,991,CURNLXCB,94440216,,2,,,,,5
1296,COMPLETED,2009-09-06 14:14:25,2009-09-12 12:22:05,511660,15031641,530,WTKTKPWX,15031641,,,2,,,,1
1297,COMPLETED,2009-09-06 14:23:59,2009-09-07 09:20:34,68195,13821211,388,HCCWONXL,13821211,1,,,,,,6
1298,COMPLETED,2009-09-06 14:46:56,2009-09-06 14:59:32,756,10650204,61,FQPMWSBT,10650204,,,,,2,,3
1299,COMPLETED,2009-09-06 15:23:59,2009-09-06 16:33:20,4161,11050345,101,HUYUFOLJ,11050345,,,,,2,,3
1300,COMPLETED,2009-09-06 15:49:20,2009-09-06 16:04:00,880,12010621,204,ZATDJCMF,12010621,2,,,,,,6
1301,COMPLETED,2009-09-06 17:47:11,2009-09-06 18:19:51,1960,44550218,747,EYFQNYFD,44550218,,,,,2,,3
1302,COMPLETED,2009-09-06 18:58:06,2009-09-06 19:09:32,686,11040339,98,ZLBDMNIB,11040339,,,1,,,,1
1303,COMPLETED,2009-09-06 19:40:19,2009-09-06 20:00:30,1211,11130362,112,LYQHNXGI,11130362,,,,,2,,3
1304,COMPLETED,2009-09-06 19:51:12,2009-09-06 20:11:49,1237,20520021,541,JNURUKDN,20520021,2,,,,,,6
1305,COMPLETED,2009-09-06 21:17:53,2009-09-06 21:40:34,1361,13211016,307,OOHBILFR,13211016,,,,2,,,4
1306,COMPLETED,2009-09-06 21:19:06,2009-09-06 21:47:22,1696,10140020,13,ZCARMJWY,10140020,,,,2,,,4
1307,COMPLETED,2009-09-06 21:32:15,2009-09-06 21:52:31,1216,14531463,468,NGGMOJKQ,14531463,,,,2,,,4
1308,COMPLETED,2009-09-06 21:34:01,2009-09-08 09:08:31,128070,13221025,313,XRPOKIDQ,13221025,,,,2,,,4
1309,COMPLETED,2009-09-06 22:24:26,2009-09-07 18:31:09,72403,12020622,205,NYBUJGPH,12020622,,1,,,,,5
1310,COMPLETED,2009-09-06 22:26:48,2009-09-06 23:00:33,2025,24620223,607,PTXUZPFN,24620223,2,,,,,,6
1311,COMPLETED,2009-09-06 22:27:15,2009-09-06 22:45:37,1102,22130098,566,XTJURIDX,22130098,,,,2,,,4
1312,COMPLETED,2009-09-06 23:17:21,2009-09-07 00:02:10,2689,64120191,878,LLWZPLXT,64120191,2,,,,,,6
1313,COMPLETED,2009-09-06 23:20:21,2009-09-06 23:46:36,1575,32520116,653,BSCXLCQJ,32520116,,,1,,,,1
1314,COMPLETED,2009-09-06 23:35:55,2009-09-06 23:50:27,872,84220208,961,CWRLPPJM,84220208,,,,,,2,2
1315,COMPLETED,2009-09-06 23:49:56,2009-09-07 00:17:38,1662,10750230,71,YTRGSUGM,10750230,,1,,,,,5
1316,COMPLETED,2009-09-07 00:34:05,2009-09-21 22:54:28,1290023,11520462,148,SRMWSROS,11520462,,,,,1,,3
1317,COMPLETED,2009-09-07 07:46:12,2009-09-07 08:04:13,1081,12820889,293,XULVDXCO,12820889,2,,,,,,6
1318,COMPLETED,2009-09-07 08:49:58,2009-09-07 09:29:51,2393,34610220,685,QXEFJHKI,34610220,,,,,2,,3
1319,COMPLETED,2009-09-07 09:01:25,2009-09-07 09:24:55,1410,42240102,713,JSCXQHAN,42240102,,,1,,,,1
1320,COMPLETED,2009-09-07 09:49:32,2009-09-07 10:14:16,1484,52240102,782,WDBFEABI,52240102,,,,,2,,3
1321,COMPLETED,2009-09-07 10:07:39,2009-09-07 11:07:08,3569,12010620,203,DXRMIQNB,12010620,,,,,,2,2
1322,COMPLETED,2009-09-07 10:19:31,2009-09-07 10:48:08,1717,50240007,762,ZMFTFNPO,50240007,,1,,,,,5
1323,COMPLETED,2009-09-07 10:27:23,2009-09-07 10:42:58,935,62130096,858,WGVRCBEN,62130096,,,1,,,,1
1324,COMPLETED,2009-09-07 10:38:36,2009-09-07 10:53:38,902,40650030,698,FXGTSUWI,40650030,,,,,,2,2
1325,COMPLETED,2009-09-07 10:43:51,2009-09-07 10:54:15,624,63820176,872,UQWLGMMP,63820176,,,,,2,,3
1326,COMPLETED,2009-09-07 10:50:00,2009-09-07 11:13:27,1407,31250059,632,XKEYVUXT,31250059,,,1,,,,1
1327,COMPLETED,2009-09-07 10:56:30,2009-09-07 11:38:44,2534,11130361,111,HGHUYLCY,11130361,,,,,,2,2
1328,COMPLETED,2009-09-07 10:58:52,2009-09-07 11:09:35,643,31320061,633,HOMMQXGI,31320061,,,,,,2,2
1329,COMPLETED,2009-09-07 11:13:26,2009-09-07 11:22:15,529,53840178,802,DWHSKHOI,53840178,,,,2,,,4
1330,COMPLETED,2009-09-07 11:20:05,2009-09-07 11:36:13,968,14541482,476,AMSBZBTH,14541482,,,,2,,,4
1331,COMPLETED,2009-09-07 11:26:10,2009-09-07 11:57:48,1898,64430208,880,HJUPRRNN,64430208,,,,,,2,2
1332,COMPLETED,2009-09-07 11:37:05,2009-09-07 12:04:14,1629,22650124,572,CCXZQQIZ,22650124,,,1,,,,1
1333,COMPLETED,2009-09-07 11:53:21,2009-09-08 19:41:51,114510,74710232,932,UOZOCGRM,74710232,,,1,,,,1
1334,COMPLETED,2009-09-07 11:55:56,2009-09-07 12:35:00,2344,51730078,775,CYVFNVIX,51730078,,,,2,,,4
1335,COMPLETED,2009-09-07 12:19:13,2009-09-07 12:34:08,895,11140366,116,VJYKROJP,11140366,,,1,,,,1
1336,COMPLETED,2009-09-07 12:52:23,2009-09-07 13:53:00,3637,13211015,306,OZXRDBFR,13211015,,2,,,,,5
1337,COMPLETED,2009-09-07 14:45:05,2009-09-07 15:54:42,4177,44440210,739,JPVPOEVN,44440210,,,,2,,,4
1338,COMPLETED,2009-09-07 15:10:13,2009-09-07 15:31:59,1306,12450775,258,QWDQRWSI,12450775,,,,,2,,3
1339,COMPLETED,2009-09-07 15:20:47,2009-09-09 16:01:19,175232,81430065,942,MHYGDSUL,81430065,2,,,,,,6
1340,COMPLETED,2009-09-07 15:21:18,2009-09-07 16:33:39,4341,64040188,875,MSDJUWOD,64040188,,1,,,,,5
1341,COMPLETED,2009-09-07 15:50:54,2009-09-07 16:16:49,1555,80610027,937,DIBVBJJN,80610027,,,,2,,,4
1342,COMPLETED,2009-09-07 16:12:12,2009-09-10 10:04:47,237155,12130666,216,QTMUIBPA,12130666,,,,,,2,2
1343,COMPLETED,2009-09-07 16:58:30,2009-09-07 17:07:11,521,91130052,973,KCHIOPDY,91130052,,,,,2,,3
1344,COMPLETED,2009-09-07 17:13:09,2009-09-07 17:25:50,761,31810082,642,IUDBGYPC,31810082,,2,,,,,5
1345,COMPLETED,2009-09-07 17:35:03,2009-09-07 18:17:18,2535,13831218,393,WXHWWIIK,13831218,,1,,,,,5
1346,COMPLETED,2009-09-07 17:39:02,2009-09-07 17:59:15,1213,14321713,896,QNKKDKXP,14321713,,,,,1,,3
1347,COMPLETED,2009-09-07 17:40:59,2009-09-07 18:27:01,2762,10520137,47,DYSXEIHT,10520137,,,,2,,,4
1348,COMPLETED,2009-09-07 17:50:13,2009-09-07 18:03:11,778,51210055,768,TDQXJNVV,51210055,,,,,1,,3
1349,COMPLETED,2009-09-07 18:43:14,2009-09-07 19:13:14,1800,10220033,18,KXCSJEHM,10220033,,,,,,2,2
1350,COMPLETED,2009-09-07 19:04:24,2009-09-07 19:20:43,979,11540474,154,QKTUATBO,11540474,,,,,,2,2
1351,COMPLETED,2009-09-07 19:11:58,2009-09-07 19:26:12,854,13841226,397,YECCMNBL,13841226,,,,,,1,2
1352,COMPLETED,2009-09-07 19:20:35,2009-09-07 19:54:37,2042,61430063,847,YTVBNCFK,61430063,,,2,,,,1
1353,COMPLETED,2009-09-07 19:23:07,2009-09-07 19:45:12,1325,14521457,465,PMBMHLTD,14521457,,,,,,2,2
1354,COMPLETED,2009-09-07 20:01:40,2009-09-07 20:19:26,1066,12710848,284,WKYWGQOL,12710848,2,,,,,,6
1,DROPOUT,2009-09-07 20:26:25,,,*SURVEY EDITOR TESTRUN*,,,,,,,,,,
1,DROPOUT,2009-09-07 20:27:13,,,*SURVEY EDITOR TESTRUN*,,,,,,,,,,
1355,COMPLETED,2009-09-07 21:24:17,2009-09-07 22:09:55,2738,61210054,843,ISXFKBAX,61210054,,,,,,1,2
1356,COMPLETED,2009-09-07 21:25:14,2009-09-07 21:49:25,1451,24030190,591,UMPKOCUB,24030190,,,,,2,,3
1357,COMPLETED,2009-09-07 22:11:53,2009-09-07 23:28:24,4591,62010089,855,ZMVRMFLU,62010089,2,,,,,,6
1358,COMPLETED,2009-09-07 22:21:24,2009-09-07 22:40:28,1144,82240103,947,VBVRXMSO,82240103,,,,2,,,4
1359,COMPLETED,2009-09-07 22:29:18,2009-09-07 22:51:53,1355,10310065,28,MZGLUJPI,10310065,,,1,,,,1
1360,COMPLETED,2009-09-07 22:34:31,2009-09-07 22:56:57,1346,14531466,471,EUCBUMAR,14531466,2,,,,,,6
1361,COMPLETED,2009-09-07 22:53:19,2009-09-07 23:21:46,1707,84740235,967,XGQLUBXR,84740235,,,,,1,,3
1362,COMPLETED,2009-09-07 23:13:04,2009-09-12 23:22:23,432559,54430209,811,DPIVKFHB,54430209,,,,2,,,4
1363,COMPLETED,2009-09-07 23:26:19,2009-09-07 23:57:21,1862,54750227,821,HSFOKPDE,54750227,,,,,,2,2
1364,COMPLETED,2009-09-08 00:05:03,2009-09-08 01:06:03,3660,14211348,439,MINJKNUH,14211348,,,,1,,,4
1365,COMPLETED,2009-09-08 04:00:37,2009-09-08 04:32:58,1941,11610490,159,LFHUHYOU,11610490,,,1,,,,1
1366,COMPLETED,2009-09-08 06:56:16,2009-09-08 07:27:03,1847,10150024,15,LBNOPLAC,10150024,2,,,,,,6
1367,COMPLETED,2009-09-08 07:17:22,2009-09-08 07:39:05,1303,13931252,406,LBTFAUKZ,13931252,,,,1,,,4
1368,COMPLETED,2009-09-08 07:43:59,2009-09-08 07:51:54,475,71310060,912,ZEUFADUW,71310060,,,,,1,,3
1369,COMPLETED,2009-09-08 07:46:30,2009-09-09 06:42:26,82556,40420015,694,QXZSHXFH,40420015,,,1,,,,1
1370,COMPLETED,2009-09-08 07:52:22,2009-09-08 08:11:16,1134,45050242,758,LNDUSACT,45050242,1,,,,,,6
1371,COMPLETED,2009-09-08 08:49:26,2009-09-08 09:45:39,3373,14021280,412,XHYPCKNV,14021280,,,,,,2,2
1372,COMPLETED,2009-09-08 09:04:23,2009-09-08 09:20:09,946,51430064,771,BEAZNNAW,51430064,,,1,,,,1
1373,COMPLETED,2009-09-08 09:25:10,2009-09-08 09:48:19,1389,11510459,147,SBLVFPWG,11510459,,,,2,,,4
1374,COMPLETED,2009-09-08 09:27:14,2009-09-08 09:50:44,1410,13321056,320,WKJXIEIG,13321056,,,,1,,,4
1375,COMPLETED,2009-09-08 09:35:34,2009-09-09 11:15:54,92420,30720032,626,MDMDTUMG,30720032,,2,,,,,5
1376,COMPLETED,2009-09-08 09:50:45,2009-09-12 17:26:38,372953,12450774,257,PEEWFQLF,12450774,,1,,,,,5
1377,COMPLETED,2009-09-08 10:17:10,2009-09-08 11:21:03,3833,31350063,634,ZWQNYDCP,31350063,,1,,,,,5
1378,COMPLETED,2009-09-08 10:25:24,2009-09-08 11:42:16,4612,13551133,348,ORCSAYLS,13551133,,1,,,,,5
1379,COMPLETED,2009-09-08 10:51:12,2009-09-08 11:16:51,1539,11440451,144,TPDVNBMN,11440451,,2,,,,,5
1380,COMPLETED,2009-09-08 11:35:56,2009-09-09 12:44:11,90495,12420756,250,SWJDLBYW,12420756,,,,,,2,2
1381,COMPLETED,2009-09-08 12:02:38,2009-09-08 12:36:15,2017,63630166,870,WVOOKROH,63630166,,1,,,,,5
1382,COMPLETED,2009-09-08 12:07:40,2009-09-08 12:34:20,1600,11550482,157,SMHRNRFV,11550482,,,,2,,,4
1383,COMPLETED,2009-09-08 12:15:33,2009-09-08 12:46:01,1828,11550481,156,XFAPQESD,11550481,1,,,,,,6
1384,COMPLETED,2009-09-08 13:19:42,2009-09-08 13:36:15,993,23320155,581,XSOTNQHO,23320155,,1,,,,,5
1385,COMPLETED,2009-09-08 13:23:51,2009-09-12 17:56:39,361968,83650168,954,BEEOJMAD,83650168,,,2,,,,1
1386,COMPLETED,2009-09-08 13:32:04,2009-09-08 20:34:46,25362,13741193,380,CKEOGKXG,13741193,,,,,,1,2
1387,COMPLETED,2009-09-08 13:41:05,2009-09-24 17:58:44,1397859,13621143,357,UXRPIWKW,13621143,,,,,2,,3
1388,COMPLETED,2009-09-08 13:51:01,2009-09-08 14:07:14,973,12240700,232,DKWRZYBE,12240700,,,,,1,,3
1389,COMPLETED,2009-09-08 14:09:40,2009-09-08 14:25:58,978,54050189,805,MVHIABPQ,54050189,,,1,,,,1
1390,COMPLETED,2009-09-08 14:16:31,2009-09-18 10:27:55,850284,42210099,711,WYXXGDWI,42210099,2,,,,,,6
1391,COMPLETED,2009-09-08 14:53:41,2009-09-08 15:10:38,1017,10241694,893,SJTBCYZP,10241694,,,,,2,,3
1392,COMPLETED,2009-09-08 15:00:48,2009-09-08 15:29:55,1747,14141323,430,OBNYFRQW,14141323,,,,,,1,2
1393,COMPLETED,2009-09-08 15:01:22,2009-09-08 15:09:54,512,13821213,390,CEOYZTKX,13821213,,2,,,,,5
1394,COMPLETED,2009-09-08 15:01:34,2009-09-08 16:16:24,4490,24810230,611,EDFQIBRN,24810230,,1,,,,,5
1395,COMPLETED,2009-09-08 15:06:12,2009-09-08 15:17:58,706,12540804,269,NBBUOULF,12540804,,,,,,2,2
1396,COMPLETED,2009-09-08 15:07:13,2009-09-08 15:19:44,751,54440210,812,TAFMYTBR,54440210,,1,,,,,5
1397,COMPLETED,2009-09-08 15:14:37,2009-09-08 15:30:44,967,12530796,265,WXZUJYSM,12530796,,1,,,,,5
